Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
relusuri Google Maps SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Sib Paraduar SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
o Rekomendasi aktivitas SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
OPC SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
SDN 14 Simbolon Purba SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ44+PJV, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SDN 14 Simbolon Purba|2.5068524|98.7565318|Sekolah Dasar|Tidak ada review|Tidak ada review
Rumah Makan Sabas Padang SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ7F+38Q, Jl. Simbolon Purba, Sigaol Simbolon, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|0821-6830-8091|Alamat web tidak ditemukan|Rumah Makan Sabas|2.5127081|98.7733684|Restoran Padang|Tidak ada review|Tidak ada review
Futsal Panahatan SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ59+MJG, Saor Nauli Hatoguan, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Futsal Panahatan|2.509195|98.769066|Lapangan Futsal|Tidak ada review|Tidak ada review
Huta Gurgur SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ54+VQJ, Huta Gurgur Road, Simbolon Purba, Palipi, Samosir Regency, North Sumatra 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Huta Gurgur|2.5097148|98.7568805|Penginapan|Tidak ada review|Tidak ada review
UARGA SAPUL SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
olon SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Dermaga Tarabunga SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Jl. Raya Tarabunga No.Desa, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|0853-7382-0706|Alamat web tidak ditemukan|Dermaga Tarabunga|2.5051059|98.7549736|Otoritas Pelabuhan|Tidak ada review|Tidak ada review
inga SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Siguluan Bridge SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ7C+9F2, Jl. Simbolon Purba, Saor Nauli Hatoguan, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Siguluan Bridge|2.5133806|98.7711487|Jembatan|Tidak ada review|Tidak ada review
Simbolon Sirimbang  SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ7F+35X, Jl. Simbolon Purba, Saor Nauli Hatoguan, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Simbolon Sirimbang|2.5127204|98.7728288|Pusat Spiritis|Tidak ada review|Tidak ada review
Warung Tiara Silalahi Pusat Perbelanjaan SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |HRV9+M2F, Dolok Niapul, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22395|0813-6166-0904|Alamat web tidak ditemukan|Warung Tiara Silalahi|2.5941896|98.8175333|Pusat Perbelanjaan|Tidak ada review|Tidak ada review
rabunga SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Lalin lengang di area ini SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Kondisi normal SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
on Purba SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
